Date,Group,Team A,Team B,Team A Goals,Team B Goals
6/11/2026,A,Mexico,South Africa,2,0
6/11/2026,A,South Korea,Czech Republic,2,1
6/12/2026,B,Canada,Bosnia and Herzegovina,1,1
6/12/2026,D,United States,Paraguay,4,1
6/13/2026,B,Qatar,Switzerland,1,1
6/13/2026,C,Brazil,Morocco,1,1
6/13/2026,C,Haiti,Scotland,0,1
6/13/2026,D,Australia,Turkey,2,0
6/14/2026,E,Germany,Curacao,7,1
6/14/2026,E,Ivory Coast,Ecuador,1,0
6/14/2026,F,Netherlands,Japan,2,2
6/14/2026,F,Sweden,Tunisia,5,1
6/15/2026,H,Spain,Cape Verde,0,0
6/15/2026,G,Belgium,Egypt,1,1
6/15/2026,H,Saudi Arabia,Uruguay,1,1
6/15/2026,G,Iran,New Zealand,2,2
6/16/2026,I,France,Senegal,3,1
6/16/2026,I,Iraq,Norway,1,4
6/16/2026,J,Argentina,Algeria,3,0
6/16/2026,J,Austria,Jordan,3,1
6/17/2026,K,Portugal,DR Congo,1,1
6/17/2026,K,Uzbekistan,Colombia,1,3
6/17/2026,L,England,Croatia,4,2
6/17/2026,L,Ghana,Panama,1,0
6/18/2026,A,Czech Republic,South Africa,1,1
6/18/2026,B,Switzerland,Bosnia and Herzegovina,4,1
6/18/2026,B,Canada,Qatar,6,0
6/18/2026,A,Mexico,South Korea,1,0
6/19/2026,D,United States,Australia,2,0
6/19/2026,D,Turkey,Paraguay,0,1
6/19/2026,C,Scotland,Morocco,0,1
6/19/2026,C,Brazil,Haiti,3,0
6/20/2026,F,Netherlands,Sweden,5,1
6/20/2026,F,Tunisia,Japan,0,4
6/20/2026,E,Germany,Ivory Coast,2,1
6/20/2026,E,Ecuador,Curacao,0,0
6/21/2026,H,Spain,Saudi Arabia,4,0
6/21/2026,G,Belgium,Iran,0,0
6/21/2026,H,Uruguay,Cape Verde,2,2
6/21/2026,G,New Zealand,Egypt,1,3
6/22/2026,J,Argentina,Austria,2,0
6/22/2026,J,Jordan,Algeria,1,2
6/22/2026,I,France,Iraq,3,0
6/22/2026,I,Norway,Senegal,3,2
