team,group,1st,2nd,3rd,4th
Mexico,A,78.82,16.93,3.83,0.42
South Korea,A,17.79,52.89,24.94,4.38
Czech Republic,A,1.85,11.79,36.99,49.37
South Africa,A,1.54,18.39,34.24,45.83
Canada,B,47.6,31.6,15.1,5.6
Switzerland,B,38.4,30.8,23.4,7.3
Bosnia and Herzegovina,B,11,26.9,37.4,24.7
Qatar,B,3,10.6,24,62.4
Brazil,C,55.1,31.3,10.9,2.7
Morocco,C,29.2,47.1,20.7,3
Scotland,C,14.1,18,51.1,16.8
Haiti,C,1.6,3.6,17.3,77.5
United States,D,61.9,23.3,12.7,2.2
Turkey,D,4.2,17.8,34.9,43.1
Australia,D,31.4,43.3,21.3,3.9
Paraguay,D,2.4,15.6,31.1,50.9
Germany,E,60.1,26,13.8,0.1
Ivory Coast,E,36.6,45.7,17.2,0.5
Ecuador,E,3.2,27.4,64.3,5.1
Curacao,E,0.1,0.9,4.8,94.2
Netherlands,F,46.5,33.4,13.8,6.3
Japan,F,31.6,38.7,20.3,9.4
Sweden,F,19.4,23.4,47.1,10.1
Tunisia,F,2.6,4.5,18.8,74.2
Belgium,G,52.8,27.8,13.4,6
Egypt,G,26.4,39.2,21.2,13.2
Iran,G,16.1,21.2,38.8,23.9
New Zealand,G,4.8,11.8,26.5,57
Spain,H,58.8,27.8,11.2,2.2
Uruguay,H,30.4,37.9,26,5.7
Cape Verde,H,8.4,24.2,39,28.4
Saudi Arabia,H,2.4,10.1,23.9,63.7
France,I,66.29,23.57,8.73,1.41
Norway,I,19.36,40.21,30.16,10.27
Senegal,I,13.18,29.83,40.65,16.34
Iraq,I,1.17,6.39,20.46,71.98
Argentina,J,69.57,22.84,6.44,1.15
Austria,J,20.35,43.98,25.68,9.99
Algeria,J,8.21,23.97,43.92,23.9
Jordan,J,1.87,9.21,23.96,64.96
Colombia,K,50.98,31.41,12.65,4.96
Portugal,K,37.24,36.44,17.94,8.38
DR Congo,K,8.23,20.3,41.31,30.16
Uzbekistan,K,3.55,11.85,28.1,56.5
England,L,58.47,28.31,10.02,3.2
Croatia,L,30.47,40.8,19.89,8.84
Panama,L,5.77,15.28,35.07,43.88
Ghana,L,5.29,15.61,35.02,44.08
