Round,Date,Group,Team A,Team B,A Overall Eff,B Overall Eff,A Goal Eff,B Goal Eff,Combined Eff,Combined Goal,Difference Eff,Quality Rank,Offense Rank,Closeness Rank,Avg Rank,Overall Rank
1,6/11/2026,A,South Korea,Czech Republic,0.24,0.16,2.66,2.85,0.40,5.51,0.0832314191,56,12,4,24,10
1,6/11/2026,A,Mexico,South Africa,0.69,0.13,2.10,2.16,0.82,4.26,0.5619933997,46,68,24,46,54
1,6/12/2026,D,United States,Paraguay,0.30,0.61,2.72,1.93,0.91,4.65,0.3089628697,44,57,10,37,41
1,6/12/2026,B,Canada,Bosnia and Herzegovina,0.30,-0.31,2.37,2.30,-0.01,4.66,0.6147767127,65,55,30,50,62
1,6/13/2026,C,Brazil,Morocco,1.39,1.05,2.63,2.10,2.44,4.72,0.3357521647,8,54,13,25,11
1,6/13/2026,D,Australia,Turkey,0.34,0.85,2.51,2.69,1.19,5.20,0.5048168614,34,26,20,26.66666667,16
1,6/13/2026,C,Haiti,Scotland,-0.80,0.39,2.81,2.73,-0.41,5.54,1.187413476,69,11,49,43,48
1,6/13/2026,B,Qatar,Switzerland,-1.15,0.87,2.82,2.82,-0.28,5.64,2.022916857,67,6,68,47,58
1,6/14/2026,F,Netherlands,Japan,1.43,1.07,2.83,2.30,2.50,5.13,0.3581631471,7,30,14,17,4
1,6/14/2026,F,Sweden,Tunisia,0.04,0.48,3.15,2.01,0.53,5.16,0.4388014308,53,29,17,33,33
1,6/14/2026,E,Ivory Coast,Ecuador,0.64,1.09,2.42,1.74,1.73,4.15,0.45234469,18,71,19,36,38
1,6/14/2026,E,Germany,Curacao,1.42,-0.93,2.90,2.68,0.50,5.58,2.352579121,54,8,71,44.33333333,52
1,6/15/2026,H,Spain,Cape Verde,2.04,0.03,2.75,2.91,2.08,5.66,2.01215872,11,5,66,27.33333333,17
1,6/15/2026,G,Belgium,Egypt,1.10,0.52,2.37,2.18,1.63,4.55,0.5763179527,22,62,26,36.66666667,39
1,6/15/2026,G,Iran,New Zealand,0.44,-0.53,2.62,2.37,-0.08,5.00,0.9664450704,66,39,40,48.33333333,60
1,6/15/2026,H,Saudi Arabia,Uruguay,-0.51,1.22,2.18,2.06,0.71,4.24,1.735335228,47,70,63,60,71
1,6/16/2026,I,France,Senegal,1.76,0.78,2.56,2.75,2.54,5.31,0.9864021804,5,21,41,22.33333333,8
1,6/16/2026,J,Austria,Jordan,1.14,-0.08,2.74,3.14,1.06,5.88,1.223388043,40,2,51,31,24
1,6/16/2026,J,Argentina,Algeria,1.84,0.53,2.46,2.34,2.37,4.81,1.308809818,10,49,53,37.33333333,43
1,6/16/2026,I,Iraq,Norway,-0.40,1.09,2.01,3.00,0.69,5.01,1.486663654,48,38,59,48.33333333,60
1,6/17/2026,L,England,Croatia,1.40,1.03,2.44,2.66,2.42,5.10,0.3668608432,9,33,15,19,5
1,6/17/2026,L,Ghana,Panama,0.03,0.07,2.83,2.90,0.10,5.73,0.03481249244,63,4,2,23,9
1,6/17/2026,K,Portugal,DR Congo,1.36,0.35,2.57,1.68,1.71,4.25,1.0021851,19,69,44,44,51
1,6/17/2026,K,Uzbekistan,Colombia,-0.02,1.66,1.95,2.71,1.64,4.66,1.676414889,21,56,62,46.33333333,55
2,6/18/2026,A,Czech Republic,South Africa,0.16,0.13,2.85,2.16,0.29,5.01,0.03109037562,60,37,1,32.66666667,32
2,6/18/2026,A,Mexico,South Korea,0.69,0.24,2.10,2.66,0.94,4.76,0.447671605,43,51,18,37.33333333,43
2,6/18/2026,B,Switzerland,Bosnia and Herzegovina,0.87,-0.31,2.82,2.30,0.56,5.12,1.181489067,52,31,48,43.66666667,50
2,6/18/2026,B,Canada,Qatar,0.30,-1.15,2.37,2.82,-0.85,5.18,1.456204502,71,28,58,52.33333333,65
2,6/19/2026,D,United States,Australia,0.30,0.34,2.72,2.51,0.64,5.23,0.04422695877,49,24,3,25.33333333,14
2,6/19/2026,D,Turkey,Paraguay,0.85,0.61,2.69,1.93,1.46,4.62,0.2400809504,28,59,7,31.33333333,26
2,6/19/2026,C,Scotland,Morocco,0.39,1.05,2.73,2.10,1.44,4.83,0.6640569084,29,46,32,35.66666667,35
2,6/19/2026,C,Brazil,Haiti,1.39,-0.80,2.63,2.81,0.59,5.44,2.187222549,50,16,70,45.33333333,53
2,6/20/2026,E,Germany,Ivory Coast,1.42,0.64,2.90,2.42,2.06,5.32,0.7879772679,12,20,35,22.33333333,8
2,6/20/2026,F,Netherlands,Sweden,1.43,0.04,2.83,3.15,1.47,5.98,1.384367058,26,1,57,28,18
2,6/20/2026,F,Tunisia,Japan,0.48,1.07,2.01,2.30,1.55,4.31,0.5874024798,23,67,27,39,45
2,6/20/2026,E,Ecuador,Curacao,1.09,-0.93,1.74,2.68,0.16,4.42,2.016946543,62,65,67,64.66666667,72
2,6/21/2026,G,Belgium,Iran,1.10,0.44,2.37,2.62,1.54,5.00,0.6602238108,24,40,31,31.66666667,27
2,6/21/2026,H,Uruguay,Cape Verde,1.22,0.03,2.06,2.91,1.26,4.97,1.192470936,33,41,50,41.33333333,46
