Group,team,off_eff,def_eff,overall_rating
H,Spain,2.40,0.35,2.04
J,Argentina,2.15,0.31,1.84
I,France,2.16,0.40,1.76
K,Colombia,2.18,0.52,1.66
F,Netherlands,2.13,0.70,1.43
E,Germany,2.16,0.74,1.42
L,England,1.92,0.52,1.40
C,Brazil,2.01,0.62,1.39
K,Portugal,1.96,0.61,1.36
H,Uruguay,1.64,0.42,1.22
J,Austria,1.94,0.80,1.14
G,Belgium,1.74,0.63,1.10
I,Norway,2.05,0.96,1.09
E,Ecuador,1.41,0.32,1.09
F,Japan,1.68,0.61,1.07
C,Morocco,1.57,0.52,1.05
L,Croatia,1.85,0.82,1.03
B,Switzerland,1.85,0.98,0.87
D,Turkey,1.77,0.92,0.85
I,Senegal,1.76,0.99,0.78
A,Mexico,1.40,0.70,0.69
E,Ivory Coast,1.53,0.89,0.64
D,Paraguay,1.27,0.66,0.61
J,Algeria,1.44,0.91,0.53
G,Egypt,1.35,0.83,0.52
F,Tunisia,1.25,0.76,0.48
G,Iran,1.53,1.09,0.44
C,Scotland,1.56,1.17,0.39
K,DR Congo,1.02,0.66,0.35
D,Australia,1.43,1.08,0.34
B,Canada,1.33,1.03,0.30
D,United States,1.51,1.21,0.30
A,South Korea,1.45,1.21,0.24
A,Czech Republic,1.50,1.34,0.16
A,South Africa,1.15,1.02,0.13
L,Panama,1.49,1.42,0.07
F,Sweden,1.60,1.56,0.04
L,Ghana,1.43,1.40,0.03
H,Cape Verde,1.47,1.44,0.03
K,Uzbekistan,0.97,0.99,-0.02
J,Jordan,1.53,1.61,-0.08
B,Bosnia and Herzegovina,0.99,1.30,-0.31
I,Iraq,0.81,1.20,-0.40
H,Saudi Arabia,0.83,1.34,-0.51
G,New Zealand,0.92,1.45,-0.53
C,Haiti,1.01,1.81,-0.80
E,Curacao,0.88,1.80,-0.93
B,Qatar,0.83,1.98,-1.15
